Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 48.46      3.62     3.62 206509790     0.00     0.00  Mat<float>::get(int, int) const
 10.58      4.41     0.79   196199     0.00     0.00  Mat<float>::Mat(Mat<float> const&, float, int, int, int, int)
  6.83      4.92     0.51  1810368     0.00     0.00  Mat<float>::Mat(Mat<float> const&)
  6.16      5.38     0.46   581219     0.00     0.00  Mat<float>::copy(Mat<float> const&)
  5.35      5.78     0.40 56402520     0.00     0.00  Mat<float>::getLine() const
  5.09      6.16     0.38     1704     0.00     0.00  cv::Mat Mat2cvp<float>(Mat<float>, Mat<float>, Mat<float>)
  3.35      6.41     0.25  5101635     0.00     0.00  Mat<float>::~Mat()
  1.87      6.55     0.14 10898299     0.00     0.00  Mat<float>::set(float, int, int)
  1.87      6.69     0.14   254494     0.00     0.00  Mat<float> operator*<float>(Mat<float> const&, Mat<float> const&)
  1.47      6.80     0.11 58910234     0.00     0.00  Mat<float>::getColumn() const
  1.14      6.88     0.09  2291920     0.00     0.00  Mat<float>::Mat(int, int)
  0.94      6.96     0.07   399760     0.00     0.00  Mat<float> operator*<float>(float const&, Mat<float> const&)
  0.87      7.02     0.07   221536     0.00     0.00  Mat<float>::Mat(float, int, int)
  0.80      7.08     0.06   132694     0.00     0.00  Frame<float>::get(Mat<float> const&)
  0.67      7.13     0.05   486082     0.00     0.00  Mat<float> extract<float>(Mat<float> const&, int, int, int, int)
  0.60      7.17     0.04                             void DrawCircle<float>(Mat<float>*, int, int, int, float)
  0.54      7.21     0.04   265388     0.00     0.00  Mat<float> sum<float>(Mat<float> const&)
  0.47      7.25     0.04   581147     0.00     0.00  Mat<float>::operator=(Mat<float> const&)
  0.27      7.27     0.02   329344     0.00     0.00  std::sqrt(float)
  0.27      7.29     0.02   132720     0.00     0.00  Mat<float> operator+<float>(Mat<float> const&, Mat<float> const&)
  0.27      7.31     0.02    42532     0.00     0.00  Mat<float> expW<float>(Mat<float> const&)
  0.13      7.32     0.01   957422     0.00     0.00  void std::swap<float>(float&, float&)
  0.13      7.33     0.01   689939     0.00     0.00  float fabs_<float>(float)
  0.13      7.34     0.01   320707     0.00     0.00  __gnu_cxx::__enable_if<std::__is_arithmetic<float>::__value, int>::__type std::isnan<float>(float)
  0.13      7.35     0.01   254704     0.00     0.00  void transpose<float>(Mat<float>*)
  0.13      7.36     0.01   188271     0.00     0.00  Mat<float> operator-<float>(Mat<float> const&, Mat<float> const&)
  0.13      7.37     0.01   175298     0.00     0.00  Mat<float> transpose<float>(Mat<float> const&)
  0.13      7.38     0.01   137312     0.00     0.00  Mat<float> operatorC<float>(Mat<float> const&, Mat<float> const&)
  0.13      7.39     0.01    42523     0.00     0.00  LSSE3<float>::rigidMotion(Mat<float> const&, Mat<float> const&)
  0.13      7.40     0.01    42523     0.00     0.00  LSSE3<float>::Z(Mat<float> const&)
  0.13      7.41     0.01    42523     0.00     0.00  LSSE3<float>::proj(Mat<float> const&)
  0.13      7.42     0.01    42523     0.00     0.00  LSSE3<float>::warp(Mat<float> const&, Mat<float> const&)
